,PathNumber,ColliderName,Samples,timeDiff,Index,HMD_x,HMD_y,HMD_z,transformed_HMD_x,transformed_HMD_y
69,1,Building_154,1,0.021823406219482425,188,-275.93634033203125,2.7987728118896484,-121.7452163696289,910.102450512727,1545.6646441325324
70,1,NoHouse,2,0.022815465927124023,189,-275.79598999023443,2.800400495529175,-121.73336029052734,910.6830982441905,1545.7133638995028
71,1,Building_154,1,0.021328449249267575,190,-275.7109375,2.8013412952423096,-121.7261199951172,911.0349703570092,1545.7431171301168
72,1,NoHouse,185,3.0211365222930913,191,-268.62545776367193,2.812217235565185,-121.13597869873048,940.3471183982094,1548.1678901030914
73,1,Building_236,1,0.01190471649169922,192,-261.3955078125,2.802734851837158,-120.76593017578124,970.2564851600613,1549.6839561408156
74,1,NoHouse,1,0.021823883056640625,193,-261.34033203125,2.802616596221924,-120.75762939453124,970.484668886141,1549.7181260377024
75,1,Building_236,1,0.021824121475219727,194,-261.28302001953125,2.801785707473755,-120.7514190673828,970.721713195831,1549.743666074045
76,1,NoHouse,6,0.088287353515625,195,-260.9792022705078,2.7973735332489014,-120.7222900390625,971.9784143391843,1549.8634055774814
77,1,Building_236,2,0.02182483673095703,196,-260.70346069335943,2.79656720161438,-120.699951171875,973.1189017118116,1549.9551672008388
78,1,NoHouse,1,0.01140737533569336,197,-260.56475830078125,2.7962005138397217,-120.68885040283205,973.6926165531303,1550.0007632406482
79,1,Building_236,2,0.034224271774291985,198,-260.425537109375,2.795784115791321,-120.6783447265625,974.2684830972602,1550.0439026733661
80,1,NoHouse,81,1.3312640190124512,199,-257.35516357421875,2.782778739929199,-120.74304962158205,986.9715115491422,1549.772186153582
81,1,Building_154,26,0.4211046695709229,200,-253.0692596435546,2.76589298248291,-120.79851531982422,1004.7021945122973,1549.5367469747948
82,1,NoHouse,13,0.20087957382202148,201,-251.43536376953125,2.757735013961792,-120.91513061523438,1011.462302453651,1549.05305226265
83,1,Building_154,13,0.20038390159606934,202,-250.4405212402344,2.746288537979126,-121.04674530029295,1015.5789410337975,1548.508451076726
84,1,NoHouse,13,0.18848085403442386,203,-249.4476623535156,2.737504243850708,-121.1758804321289,1019.6872819547206,1547.9740929412433
