ColliderName,Samples,timeDiff,Index,HMD_x,HMD_y,HMD_z,transformed_HMD_x,transformed_HMD_y
Building_154,22,0.34471964836120605,1103,74.3814926147461,1.2567225694656372,24.04068756103516,2355.4908651298347,2145.7147118454345
Building_97,37,0.6105732917785645,1195,92.76123046875,1.287421703338623,28.22492980957031,2431.1908755190984,2162.854535158835
Building_176,30,0.4999704360961914,4390,36.39250946044922,1.0479837656021118,177.70579528808594,2198.2575506590465,2780.146958506148
Building_176,39,0.6661267280578613,4454,22.510574340820312,1.4409708976745603,173.0645751953125,2141.00243400877,2761.121790987389
TaskBuilding_27,30,0.42209553718566895,4507,20.447799682617188,1.4635881185531616,162.99642944335938,2132.538488456269,2719.555819733552
Building_176,36,0.4786391258239746,4770,10.23749542236328,2.1263979673385616,117.28426742553712,2090.6326194788667,2530.881688066669
Building_176,28,0.3888626098632813,4839,-8.232276916503906,2.242126941680908,123.96269989013672,2014.3825946045968,2558.6214788679044
Building_176,62,0.9037103652954102,4848,-11.866378784179688,2.243340253829956,129.59557342529294,1999.353051802665,2581.9166514099034
Building_176,29,0.44491100311279297,4858,-13.269454956054688,2.2522308826446533,133.37075805664062,1993.5411216702978,2597.5211842213266
Building_176,71,1.0971510410308838,4905,-17.890228271484375,2.211134910583496,149.4384307861328,1974.377810927498,2663.9333344079996
Building_176,47,0.7345752716064453,4931,-19.996902465820312,2.2079849243164062,152.7618865966797,1965.6620300155823,2677.6833909919787
Building_176,200,2.919451236724853,4967,-24.081863403320323,2.0845967531204224,169.05182647705078,1948.7036545063465,2745.027948684922
HighSilo-TaskBuilding_49,27,0.4007675647735596,5174,-45.20579528808594,1.7971041202545166,221.7894287109375,1861.1416159926227,2963.253023065516
Building_176,33,0.5589923858642578,5344,-61.20735168457031,1.3958158493041992,262.1795654296875,1794.7592394514593,3130.5105456801357
Building_176,44,0.7038235664367676,5579,-37.79728698730469,1.8762270212173464,205.27880859375,1891.8477314351992,2894.9036363928226
Building_176,41,0.6214864253997803,5600,-33.977890014648445,1.9380199909210205,195.0682830810547,1907.684718857433,2852.6530555039117
Building_176,76,1.243469476699829,5602,-33.794357299804695,1.9590169191360476,193.75997924804685,1908.4505185983073,2847.2432608927693
Building_176,104,1.6769728660583496,5678,-32.139617919921875,2.3686890602111816,164.6273956298828,1915.456695814484,2726.8288499659857
Building_176,45,0.7663187980651855,5710,-40.14521789550781,2.532158374786377,152.76907348632812,1882.4678630641627,2677.911403985825
Building_176,82,1.144270420074463,5712,-40.138671875,2.555262565612793,152.74974822998047,1882.4950134393455,2677.831523183084
Building_176,27,0.38985538482666016,5759,-40.03816223144531,2.5490036010742188,152.75518798828125,1882.9100546554405,2677.852978158247
Building_176,42,0.7132449150085449,5789,-40.72087097167969,2.56571888923645,152.6076202392578,1880.091561319706,2677.249977956433
Building_176,22,0.3223996162414551,6222,-79.75054931640625,3.414085865020752,98.5658836364746,1719.2377454595041,2454.3435868970364
Building_176,23,0.3680310249328613,6409,-104.8244171142578,3.9708003997802734,105.61178588867188,1615.5875384615788,2483.659742850952
Building_176,39,0.5217897891998291,6685,-133.82908630371094,3.43562650680542,162.3682403564453,1495.2365439911207,2718.525509996093
Building_176,62,1.0108480453491209,6777,-129.6575927734375,2.8272147178649902,202.95849609375,1512.1619948100845,2886.3572596331187
HighSilo-TaskBuilding_49,25,0.411679744720459,6922,-177.8402862548828,3.926965713500977,183.1786651611328,1312.9751565646498,2805.0623382525264
HighSilo-TaskBuilding_49,31,0.4776473045349121,6927,-177.79725646972656,3.9283719062805176,183.2156982421875,1313.152910201982,2805.2150913863525
HighSilo-TaskBuilding_49,40,0.6338872909545898,6962,-191.1661529541016,4.126504421234132,178.18707275390625,1257.8639773908037,2784.552899115217
