ColliderName,Samples,Index
Building_164,1,528
Building_165,11,529
Building_169,31,530
NoHouse,14,531
Building_169,25,532
Building_171,2,533
NoHouse,1,534
Building_171,22,535
NoHouse,3,536
Building_172,2,537
NoHouse,1,538
Building_172,2,539
Building_188,2,540
Building_172,6,541
NoHouse,2,542
Building_172,25,543
NoHouse,80,544
TaskBuilding_50,2,557
Building_174,46,558
NoHit,1,559
NoHouse,22,560
TaskBuilding_50,2,561
NoHouse,2,562
Building_172,43,563
NoHouse,29,564
Building_171,48,565
NoHouse,32,566
NoHit,2,567
Building_186,2,568
NoHouse,21,569
Building_172,3,572
NoHouse,2,573
Building_172,37,574
NoHouse,7,575
Building_172,2,576
NoHouse,2,577
Building_172,10,578
NoHouse,70,579
NoHit,9,582
Building_212,2,583
Building_174,100,584
NoHouse,4,585
Building_174,30,586
Building_212,2,589
NoHouse,4,590
Building_212,2,591
NoHouse,1,592
Building_212,3,593
NoHouse,1,594
Building_212,6,595
NoHouse,2,596
NoHit,14,597
Building_212,52,598
NoHouse,6,599
TaskBuilding_50,5,600
NoHouse,27,601
TaskBuilding_50,6,602
NoHouse,4,603
TaskBuilding_50,63,604
Building_212,41,605
NoHit,3,608
Building_210,2,609
Building_174,4,610
Building_210,2,611
Building_174,2,612
Building_213,2,613
Building_210,2,614
Building_174,4,615
Building_210,2,616
Building_174,2,617
Building_210,4,618
Building_213,2,619
Building_210,24,620
Building_214,50,621
Building_210,2,622
NoHit,3,623
NoHouse,2,624
NoHit,39,625
NoHouse,56,626
NoHit,25,629
NoHouse,2,630
Building_214,2,631
TaskBuilding_47,42,632
Building_174,77,633
TaskBuilding_47,31,634
Building_214,18,635
NoHouse,2,636
Building_214,6,637
NoHit,9,638
Building_210,2,639
NoHit,25,640
NoHouse,65,641
Building_172,37,642
NoHouse,11,643
Building_189,2,644
NoHouse,8,645
Building_189,3,646
NoHouse,60,647
NoHit,50,648
NoHouse,9,649
TaskBuilding_52,2,650
NoHouse,4,651
TaskBuilding_52,5,652
NoHouse,20,653
TaskBuilding_52,85,654
NoHouse,31,655
TaskBuilding_52,3,656
NoHouse,437,657
TaskBuilding_52,141,662
Building_189,6,663
NoHouse,72,664
Building_188,2,665
NoHouse,14,666
Building_188,2,667
NoHouse,4,668
Building_186,3,669
Garage_185,3,670
Building_186,4,671
NoHouse,2,672
Garage_185,2,673
Building_186,2,674
Garage_185,2,675
NoHouse,2,676
Building_186,3,677
Building_185,2,678
NoHouse,28,679
Building_185,2,680
NoHouse,6,681
Building_185,1,682
NoHouse,3,683
Building_185,1,684
NoHouse,4,685
Building_185,4,686
NoHouse,2,687
Building_185,2,688
NoHouse,2,689
Building_185,1,690
Garage_185,3,691
Building_185,2,692
Garage_185,2,693
Building_185,4,694
Garage_185,2,695
Building_185,18,696
Garage_185,6,697
NoHouse,1,698
Garage_185,1,699
NoHouse,2,700
Garage_185,2,701
NoHouse,2,702
Garage_185,2,703
NoHouse,3,704
Garage_185,1,705
NoHouse,13,706
Garage_185,2,707
NoHouse,5,708
TaskBuilding_46,2,709
Building_183,4,710
TaskBuilding_46,2,711
Building_183,4,712
TaskBuilding_46,5,713
Building_183,10,714
TaskBuilding_6,2,715
Building_178,2,716
NoHouse,8,717
Building_178,2,718
NoHouse,1,719
Building_178,1,720
NoHouse,4,721
Building_178,2,722
TaskBuilding_6,101,723
Building_178,11,724
TaskBuilding_6,148,725
Building_178,4,726
TaskBuilding_6,2,727
Building_178,1,728
TaskBuilding_6,1,729
Building_178,9,730
NoHouse,3,731
TaskBuilding_40,2,732
Building_176,1,733
Building_171,72,734
Building_172,111,735
NoHouse,15,736
Building_176,15,737
Building_171,1,738
TaskBuilding_41,2,739
Building_176,7,740
NoHouse,6,741
Building_176,2,742
NoHouse,2,743
Building_176,10,744
