ColliderName,Samples,timeDiff,Index
Building_173,13,0.21129584312438965,51
TaskBuilding_42,11,0.2018723487854004,52
Building_168,1,0.019343852996826172,53
Building_167,1,0.011407613754272461,54
Building_166,29,0.47814416885375977,55
TaskBuilding_42,1,0.021824359893798828,56
Building_173,2,0.03372788429260254,57
NoHouse,6,0.08878421783447266,58
crane_2,1,0.022319555282592773,59
NoHouse,1,0.021824359893798828,60
crane_2,2,0.044640302658081055,61
NoHouse,1,0.010911941528320312,62
crane_2,1,0.01140737533569336,63
NoHouse,62,0.9880328178405762,64
NoHit,0.011407613754272461,,65
crane_1,55,0.9552962779998779,66
NoHouse,76,1.3208484649658203,67
crane_1,11,0.14433598518371582,68
Building_155,17,0.26734423637390137,69
crane_1,19,0.27776026725769043,70
NoHouse,89,1.4765923023223877,71
crane_1,30,0.45532846450805664,72
NoHouse,105,1.7771680355072021,73
crane_1,33,0.48856043815612793,74
NoHouse,35,0.511376142501831,75
crane_1,25,0.3883686065673828,76
NoHit,0.021823406219482422,,77
NoHouse,3,0.05604815483093262,78
Building_215,1,0.021823883056640625,79
NoHouse,15,0.27776050567626953,80
Building_216,2,0.022319793701171875,81
NoHit,0.010911703109741211,,82
crane_1,23,0.3000805377960205,83
NoHit,0.022319793701171875,,84
NoHouse,15,0.23312020301818848,85
NoHit,0.03323197364807129,,86
crane_1,16,0.27776050567626953,87
NoHit,0.04463958740234375,,88
NoHouse,1,0.010911941528320312,89
Building_173,19,0.2658557891845703,90
TaskBuilding_42,2,0.033232688903808594,91
Building_168,15,0.22319984436035156,92
TaskBuilding_42,1,0.021823883056640625,93
Building_173,1,0.022319793701171875,94
Building_175,2,0.02232050895690918,95
Building_173,16,0.23312020301818848,96
NoHouse,15,0.25494384765625,97
Building_215,1,0.010911941528320312,98
crane_1,14,0.18947196006774902,99
NoHit,0.03323221206665039,,100
NoHouse,41,0.6219840049743652,101
TaskBuilding_42,20,0.289168119430542,102
NoHouse,1,0.010911941528320312,103
Building_215,16,0.2549443244934082,104
NoHouse,1,0.011904001235961914,105
NoHit,0.021823644638061523,,106
crane_1,17,0.24452829360961914,107
NoHit,0.010911703109741211,,108
NoHouse,1,0.011408090591430664,109
Building_173,1,0.022320270538330078,110
TaskBuilding_42,23,0.35563230514526367,111
Building_168,1,0.010911703109741211,112
Building_167,2,0.022320270538330078,113
Building_169,23,0.34372806549072266,114
Building_166,97,1.576784372329712,115
NoHouse,17,0.2668483257293701,116
TaskBuilding_35,510,7.963282585144043,117
NoHit,24,0.3223998546600342,118
NoHouse,1,0.011408090591430664,119
Building_164,13,0.25543999671936035,120
Building_165,1,0.010912179946899414,121
Building_166,36,0.46623897552490234,122
Building_167,19,0.3000812530517578,123
TaskBuilding_42,13,0.19988799095153809,124
Building_173,1,0.010912179946899414,125
NoHouse,2,0.022319793701171875,126
Castle-TaskBuilding_56,5,0.07787203788757324,127
NoHouse,57,0.9324803352355957,128
Castle-TaskBuilding_56,1,0.01091146469116211,129
NoHit,30,0.3997769355773926,130
Building_215,17,0.24452757835388184,131
NoHouse,21,0.3109920024871826,132
Building_173,1,0.022320270538330078,133
