ColliderName,Samples,timeDiff,Index,HMD_x,HMD_y,HMD_z
TaskBuilding_45,3,0.044640302658081055,39176,-93.71372985839844,0.045561671257019036,-125.93435668945312
NoHouse,2,0.03372764587402344,39177,-93.82231140136719,0.0457003116607666,-126.03703308105469
TaskBuilding_45,1,0.02182459831237793,39178,-93.85832214355469,0.0457688570022583,-126.0667724609375
NoHouse,1,0.022320032119750977,39179,-93.88267517089844,0.0458526611328125,-126.08636474609376
TaskBuilding_45,1,0.021823406219482422,39180,-93.90525817871094,0.045918822288513184,-126.10498046875
NoHouse,3,0.056047916412353516,39181,-93.97508239746094,0.04612588882446289,-126.16015625
TaskBuilding_45,7,0.11110377311706543,39182,-94.1598663330078,0.0466465950012207,-126.2974853515625
NoHouse,3,0.055552005767822266,39183,-94.3704071044922,0.04660880565643311,-126.44012451171876
TaskBuilding_45,1,0.022320032119750977,39184,-94.41658020019531,0.046489953994750984,-126.46975708007812
NoHouse,11,0.19740891456604004,39185,-94.57826232910156,0.04228794574737549,-126.5679931640625
TaskBuilding_44,109,1.5837271213531494,39186,-96.53913879394531,0.0388333797454834,-127.29302978515624
NoHouse,13,0.20534181594848633,39187,-96.58177185058594,0.041832566261291504,-127.29638671875
Building_214,1,0.011408090591430664,39188,-96.58375549316406,0.04127049446105957,-127.28558349609376
NoHouse,1,0.021824121475219727,39189,-96.5839385986328,0.04086887836456299,-127.28286743164062
Building_214,1,0.022319793701171875,39190,-96.58406066894531,0.04066932201385498,-127.28021240234376
NoHouse,10,0.1998887062072754,39191,-96.58427429199219,0.04032719135284424,-127.27011108398438
NoHit,16,0.2217118740081787,39192,-96.58222961425781,0.041152238845825195,-127.25299072265625
Building_154,25,0.3824155330657959,39193,-96.57234191894531,0.05094707012176514,-127.22268676757812
NoHouse,11,0.18352007865905762,39194,-96.57383728027344,0.0491262674331665,-127.22021484375
Building_210,1,0.011904478073120117,39195,-96.57765197753906,0.0476994514465332,-127.22647094726562
Building_214,1,0.02182292938232422,39196,-96.57814025878906,0.047719597816467285,-127.22769165039062
NoHouse,1,0.022321224212646484,39197,-96.5784149169922,0.04755914211273194,-127.22830200195312
Building_214,7,0.09969496726989746,39198,-96.57923889160156,0.04725873470306397,-127.23043823242188
NoHouse,1,0.011407613754272461,39199,-96.5805206298828,0.04672729969024658,-127.2333984375
