ColliderName,Samples,Time,Index,timeDiff
TaskBuilding_47,1,,492,0.022319793701171875
NoHouse,9,,493,0.16615939140319824
TaskBuilding_47,33,,494,0.47814297676086426
Building_154,1,,495,0.02182483673095703
Building_174,25,,496,0.3774549961090088
Building_154,8,,497,0.15475177764892578
Building_174,1,,498,0.010912418365478516
NoHouse,1,,499,0.011408090591430664
Building_174,1,,500,0.011408090591430664
NoHouse,24,,501,0.33281469345092773
Building_174,28,,502,0.4439201354980469
NoHouse,24,,503,0.400270938873291
TaskBuilding_47,1,,504,0.011407852172851562
NoHouse,5,,505,0.08184027671813965
TaskBuilding_47,3,,506,0.06200003623962402
NoHouse,96,,507,1.5574369430541992
Building_212,2,,508,0.03372812271118164
NoHouse,25,,509,0.3551359176635742
Building_212,1,,510,0.010911703109741211
NoHouse,1,,511,0.011407852172851562
Building_212,1,,512,0.021824121475219727
NoHouse,5,,513,0.05555224418640137
TaskBuilding_50,35,,514,0.555023193359375
NoHouse,11,,515,0.14483118057250977
Building_212,1,,516,0.02182459831237793
NoHouse,3,,517,0.033727407455444336
Building_212,28,,518,0.4667356014251709
Building_213,2,,519,0.03323221206665039
Building_210,1,,520,0.022319793701171875
Building_211,1,,521,0.010912179946899414
NoHouse,1,,522,0.010911703109741211
Building_211,1,,523,0.011408090591430664
NoHouse,1,,524,0.021823644638061523
TaskBuilding_8,1,,525,0.022320032119750977
NoHouse,1,,526,0.02232074737548828
TaskBuilding_8,2,,527,0.033231258392333984
Building_211,1,,528,0.010911941528320312
TaskBuilding_8,2,,529,0.022320032119750977
NoHouse,1,,530,0.011408090591430664
TaskBuilding_8,1,,531,0.022320032119750977
NoHouse,9,,532,0.15574359893798828
Building_214,32,,533,0.48707103729248047
NoHouse,4,,534,0.044640302658081055
Building_220,1,,535,0.021823883056640625
NoHouse,2,,536,0.03323197364807129
Building_220,3,,537,0.03323197364807129
TaskBuilding_48,1,,538,0.011407852172851562
Building_220,1,,539,0.02182483673095703
NoHouse,2,,540,0.033727169036865234
Building_220,1,,541,0.011408090591430664
NoHouse,3,,542,0.06646370887756348
Building_220,1,,543,0.010912418365478516
TaskBuilding_48,1,,544,0.011407852172851562
NoHit,0.021824121475219727,,545,
Building_235,8,,546,0.14383959770202637
NoHouse,1,,547,0.011408090591430664
Building_235,21,,548,0.3442223072052002
NoHouse,2,,549,0.033728837966918945
Building_175,1,,550,0.021824359893798828
NoHouse,2,,551,0.033727407455444336
Building_136,3,,552,0.06646418571472168
NoHouse,2,,553,0.021823406219482422
Building_136,1,,554,0.010912656784057617
NoHouse,3,,555,0.04463934898376465
Building_136,1,,556,0.022320270538330078
NoHouse,2,,557,0.021823406219482422
Building_136,1,,558,0.010912418365478516
NoHouse,2,,559,0.03372836112976074
Building_136,4,,560,0.06646370887756348
NoHit,0.022320032119750977,,561,
NoHouse,95,,562,1.5321414470672607
Building_214,36,,563,0.623967170715332
NoHouse,1,,564,0.011407852172851562
TaskBuilding_8,1,,565,0.021824121475219727
Building_210,11,,566,0.18947219848632812
TaskBuilding_8,1,,567,0.021823406219482422
Building_210,3,,568,0.04464006423950195
Building_213,1,,569,0.021824121475219727
Building_212,51,,570,0.8987510204315186
NoHouse,2,,571,0.03372764587402344
Building_198,7,,572,0.12201571464538574
NoHouse,3,,573,0.06646347045898438
Building_198,12,,574,0.14582419395446777
NoHouse,5,,575,0.11060857772827148
Building_187,14,,576,0.23361515998840332
NoHouse,2,,577,0.0441434383392334
Building_187,2,,578,0.02232074737548828
NoHouse,2,,579,0.021823644638061523
Building_187,1,,580,0.011407613754272461
NoHouse,3,,581,0.03224039077758789
Building_187,1,,582,0.011408090591430664
TaskBuilding_50,9,,583,0.1666555404663086
NoHouse,15,,584,0.24452757835388184
TaskBuilding_50,1,,585,0.011407852172851562
