PathNumber,ColliderName,Samples,timeDiff,Index
2,TaskBuilding_12,7,0.1324319839477539,850
2,NoHouse,9,0.1334238052368164,851
2,TaskBuilding_12,8,0.14433574676513672,852
2,NoHouse,2,0.022816181182861328,853
2,TaskBuilding_12,1,0.022319793701171875,854
2,Building_64,1,0.010912179946899414,855
2,TaskBuilding_1,2,0.03372788429260254,856
2,NoHouse,3,0.06646394729614258,857
2,Building_64,1,0.022320032119750977,858
2,NoHouse,1,0.010912179946899414,859
2,TaskBuilding_1,7,0.09969592094421387,860
2,NoHouse,4,0.06695961952209473,861
2,TaskBuilding_1,1,0.010911941528320312,862
2,NoHouse,303,4.775978088378906,863
2,NoHit,3,0.055056095123291016,866
2,Building_119,1,0.011407852172851562,867
2,Building_121,1,0.010911941528320312,868
2,NoHouse,8,0.1334240436553955,869
2,Building_121,2,0.03223991394042969,870
2,NoHouse,1,0.010911703109741211,871
2,Building_121,2,0.022320270538330078,872
2,NoHouse,1,0.011407613754272461,873
2,Building_121,7,0.08878397941589355,874
2,Building_117,2,0.044144392013549805,875
2,Building_118,29,0.38985538482666016,876
2,Building_117,5,0.07787156105041504,877
2,NoHouse,1,0.022320032119750977,878
2,Building_121,2,0.0441439151763916,879
2,Building_119,5,0.08878397941589355,880
2,TaskBuilding_20,1,0.022320032119750977,881
2,Building_119,6,0.1225121021270752,882
2,TaskBuilding_20,2,0.0441436767578125,883
2,NoHouse,114,1.8322217464447021,884
2,NoHit,2,0.022815942764282227,891
2,Church-TaskBuilding_16,6,0.09969568252563477,892
2,NoHouse,1,0.010912179946899414,893
2,Church-TaskBuilding_16,2,0.022319793701171875,894
2,NoHouse,6,0.11110424995422363,895
2,Church-TaskBuilding_16,1,0.011407852172851562,896
2,NoHouse,1,0.021823644638061523,897
2,Church-TaskBuilding_16,9,0.14334392547607422,898
2,NoHouse,2,0.022320270538330078,899
2,Building_125,61,0.9781107902526855,900
2,NoHouse,9,0.1666555404663086,901
2,Building_125,8,0.1334238052368164,902
2,NoHouse,20,0.2881758213043213,903
2,Building_125,7,0.0892798900604248,904
2,Church-TaskBuilding_16,1,0.021824121475219727,905
2,NoHouse,1,0.011407852172851562,906
2,Church-TaskBuilding_16,2,0.022320270538330078,907
2,NoHouse,18,0.2881753444671631,908
2,Church-TaskBuilding_16,1,0.011407852172851562,909
2,NoHouse,2,0.03323197364807129,910
2,Church-TaskBuilding_16,2,0.022320032119750977,911
2,NoHouse,1,0.021824121475219727,912
2,Church-TaskBuilding_16,1,0.022320032119750977,913
2,NoHouse,1,0.021823406219482422,914
2,Church-TaskBuilding_16,3,0.03372836112976074,915
2,NoHouse,1,0.011407613754272461,916
2,Church-TaskBuilding_16,6,0.09969615936279297,917
2,NoHouse,31,0.5366714000701904,918
2,Church-TaskBuilding_16,25,0.4072153568267822,919
2,NoHouse,29,0.5113756656646729,920
2,TaskBuilding_12,5,0.09969544410705566,923
2,NoHouse,4,0.055552005767822266,924
2,TaskBuilding_12,7,0.15524816513061523,925
2,NoHouse,23,0.3665435314178467,926
2,TaskBuilding_1,14,0.22220754623413086,927
2,NoHouse,1,0.011408090591430664,928
2,TaskBuilding_20,1,0.011407852172851562,929
2,Building_119,10,0.1324319839477539,930
2,TaskBuilding_20,2,0.03323197364807129,931
2,Building_119,1,0.022320032119750977,932
2,TaskBuilding_20,1,0.011407613754272461,933
2,Building_119,1,0.021824359893798828,934
2,TaskBuilding_20,1,0.011407852172851562,935
2,Building_119,3,0.055551767349243164,936
2,TaskBuilding_20,16,0.25543975830078125,937
2,NoHouse,33,0.5212955474853516,938
2,Church-TaskBuilding_16,2,0.022319793701171875,939
2,NoHouse,3,0.0441439151763916,940
2,Church-TaskBuilding_16,6,0.0783681869506836,941
2,NoHouse,6,0.0892796516418457,942
2,Church-TaskBuilding_16,3,0.055056095123291016,943
2,NoHit,2,0.022319793701171875,944
2,NoHouse,61,0.9438865184783936,945
2,Church-TaskBuilding_16,2,0.03323197364807129,948
2,NoHouse,2,0.03471994400024414,949
2,Church-TaskBuilding_16,6,0.09820795059204102,950
2,NoHouse,64,0.8774230480194092,951
2,Building_64,2,0.021824121475219727,954
2,NoHouse,2,0.022320032119750977,955
2,TaskBuilding_1,8,0.1225121021270752,956
2,NoHouse,13,0.1775672435760498,957
2,TaskBuilding_1,3,0.06696009635925293,958
2,NoHouse,5,0.08878397941589355,959
2,TaskBuilding_1,2,0.022319793701171875,960
2,NoHouse,1,0.010912179946899414,961
2,TaskBuilding_1,2,0.022319555282592773,962
2,NoHouse,3,0.06646394729614258,963
2,TaskBuilding_1,4,0.055552005767822266,964
2,NoHouse,11,0.18897581100463867,965
2,TaskBuilding_12,6,0.10019183158874512,968
2,NoHouse,36,0.5773437023162842,969
2,Building_67,2,0.03323173522949219,970
2,TaskBuilding_1,1,0.022320032119750977,971
2,Building_67,8,0.11110401153564453,972
2,TaskBuilding_1,13,0.22220754623413086,973
2,NoHouse,15,0.23311972618103027,974
2,Building_88,21,0.3333115577697754,975
2,Building_84,8,0.0892796516418457,976
2,Building_77,3,0.046624183654785156,977
2,Building_84,1,0.00892782211303711,978
2,Building_88,1,0.010912179946899414,979
2,NoHouse,14,0.2217113971710205,980
2,TaskBuilding_15,15,0.24452781677246094,981
2,NoHouse,71,1.07731032371521,982
2,TaskBuilding_12,3,0.04464006423950195,983
2,NoHouse,1,0.010911941528320312,984
2,TaskBuilding_12,3,0.055552005767822266,985
2,NoHouse,52,0.8431990146636963,986
2,TaskBuilding_11,1,0.02232050895690918,987
2,Building_67,10,0.15574336051940918,988
2,TaskBuilding_11,5,0.055056095123291016,989
2,NoHouse,3,0.03372788429260254,990
2,TaskBuilding_11,8,0.10019159317016602,991
2,Building_64,5,0.07787203788757324,992
2,NoHouse,21,0.31049585342407227,993
2,Building_64,1,0.011407852172851562,994
2,Building_67,2,0.021823644638061523,995
2,Building_64,1,0.011408567428588867,996
2,TaskBuilding_11,16,0.277759313583374,997
2,Building_67,1,0.021823883056640625,998
2,NoHouse,7,0.10019207000732422,999
2,Building_67,14,0.25543951988220215,1000
2,TaskBuilding_1,23,0.36604762077331543,1001
2,NoHouse,13,0.2107996940612793,1002
2,Building_67,1,0.022320032119750977,1003
2,NoHouse,3,0.04463982582092285,1004
2,Building_67,3,0.03323197364807129,1005
2,NoHouse,62,0.922062873840332,1006
2,TaskBuilding_12,1,0.021824359893798828,1007
2,NoHouse,3,0.04464006423950195,1008
2,TaskBuilding_12,1,0.010911941528320312,1009
2,NoHouse,1,0.011407613754272461,1010
2,TaskBuilding_12,14,0.19988775253295898,1011
2,NoHouse,29,0.44193553924560547,1012
2,Building_67,3,0.03422403335571289,1013
2,NoHouse,3,0.03372788429260254,1014
2,TaskBuilding_1,15,0.24551963806152344,1015
2,NoHouse,15,0.26635169982910156,1016
2,Building_67,2,0.03323197364807129,1017
2,NoHouse,5,0.055552005767822266,1018
2,Building_67,1,0.021823644638061523,1019
2,NoHouse,6,0.0892801284790039,1020
2,Building_67,1,0.022319793701171875,1021
2,NoHouse,8,0.11060810089111328,1022
2,TaskBuilding_1,1,0.011408090591430664,1023
2,NoHouse,1,0.010911941528320312,1024
2,TaskBuilding_1,16,0.24452757835388184,1025
2,NoHouse,1,0.022319793701171875,1026
2,Building_84,8,0.11110377311706543,1027
2,NoHouse,1,0.021823883056640625,1028
2,Building_84,3,0.03323245048522949,1029
2,NoHouse,4,0.06695985794067383,1030
2,Building_84,1,0.022319555282592773,1031
2,NoHouse,1,0.021824121475219727,1032
2,Building_84,2,0.04464006423950195,1033
2,Building_88,7,0.11060810089111328,1034
2,NoHouse,9,0.1334238052368164,1035
2,Building_88,5,0.07787179946899414,1036
2,Building_87,18,0.26734352111816406,1037
2,NoHouse,10,0.2107999324798584,1038
2,Building_94,1,0.011407852172851562,1039
2,NoHouse,6,0.10019207000732422,1040
2,Building_94,1,0.011407613754272461,1041
2,NoHouse,1,0.021824121475219727,1042
2,Building_94,4,0.05555224418640137,1043
2,NoHouse,1,0.010911941528320312,1044
2,Building_94,3,0.03372788429260254,1045
2,NoHouse,1,0.01091146469116211,1046
2,Building_97,10,0.2108001708984375,1047
2,NoHouse,5,0.06646394729614258,1048
2,Building_97,1,0.011408090591430664,1049
2,NoHouse,22,0.3655514717102051,1050
2,TaskBuilding_3,8,0.12251162528991699,1051
2,NoHouse,10,0.15574383735656738,1052
2,TaskBuilding_3,6,0.07737612724304199,1053
2,Building_105,1,0.011408090591430664,1054
2,NoHouse,2,0.0441436767578125,1055
2,Building_105,2,0.022319793701171875,1056
2,NoHouse,1,0.010912179946899414,1057
2,Building_105,4,0.06695985794067383,1058
2,NoHouse,37,0.6105754375457764,1059
2,TaskBuilding_1,5,0.06646394729614258,1060
2,NoHouse,20,0.322399377822876,1061
2,Building_83,1,0.010911941528320312,1062
2,NoHouse,2,0.022320032119750977,1063
2,TaskBuilding_1,2,0.022320032119750977,1064
2,Building_83,1,0.022320032119750977,1065
2,Building_67,1,0.021823883056640625,1066
2,NoHouse,5,0.06695985794067383,1067
2,Building_64,1,0.021824121475219727,1068
2,NoHouse,1,0.011407852172851562,1069
2,NoHit,4,0.04463982582092285,1070
2,TaskBuilding_11,5,0.0882880687713623,1071
2,Building_67,1,0.022320032119750977,1074
2,TaskBuilding_11,1,0.022320032119750977,1075
2,Building_67,5,0.07787179946899414,1076
2,NoHit,1,0.022319793701171875,1077
2,NoHouse,119,1.8545417785644531,1078
2,NoHit,19,0.28867197036743164,1087
2,NoHouse,26,0.42209482192993164,1088
2,TaskBuilding_12,14,0.21129608154296875,1089
2,NoHouse,1,0.011408090591430664,1090
2,TaskBuilding_12,4,0.06596803665161133,1091
2,NoHouse,1,0.010911703109741211,1092
2,TaskBuilding_12,1,0.011408090591430664,1093
2,NoHouse,14,0.19988775253295898,1094
2,Building_83,22,0.34471964836120605,1095
2,TaskBuilding_1,52,0.8104627132415771,1096
2,Building_83,8,0.1334240436553955,1097
2,NoHouse,12,0.19988727569580078,1098
2,Building_83,8,0.1225123405456543,1099
2,NoHouse,29,0.42110347747802734,1100
2,Building_67,1,0.010911941528320312,1101
2,Building_64,1,0.011407852172851562,1102
2,NoHouse,9,0.15574407577514648,1103
2,Building_64,8,0.1334240436553955,1104
2,NoHouse,20,0.28867125511169434,1105
2,Building_64,1,0.021823644638061523,1106
2,TaskBuilding_11,51,0.7444949150085449,1107
2,Building_64,5,0.08878421783447266,1108
2,NoHouse,11,0.18897581100463867,1109
2,TaskBuilding_11,18,0.24452781677246094,1110
2,Building_64,1,0.011408329010009766,1111
2,TaskBuilding_11,2,0.03323197364807129,1112
2,Building_64,7,0.08878350257873535,1113
2,TaskBuilding_11,1,0.011408090591430664,1114
2,Building_64,1,0.010911703109741211,1115
2,NoHouse,47,0.6889433860778809,1116
2,Building_67,8,0.132432222366333,1117
2,NoHouse,13,0.22121524810791016,1118
2,Building_67,18,0.2777595520019531,1119
2,Building_64,1,0.022320270538330078,1120
2,NoHouse,33,0.5540316104888916,1121
2,TaskBuilding_11,1,0.010911941528320312,1122
2,Building_67,1,0.01140737533569336,1123
2,NoHouse,4,0.06646418571472168,1124
2,Building_67,2,0.03372788429260254,1125
2,NoHouse,29,0.46723151206970215,1126
2,Building_67,11,0.12300777435302734,1127
2,NoHouse,78,1.2439663410186768,1128
2,Building_67,1,0.011408090591430664,1129
2,NoHouse,37,0.5981752872467041,1130
2,Building_83,1,0.022320032119750977,1131
2,NoHouse,1,0.010911703109741211,1132
2,Building_83,1,0.011408567428588867,1133
2,NoHouse,2,0.0441434383392334,1134
2,Building_83,1,0.012400150299072266,1135
2,NoHouse,8,0.12151980400085449,1136
2,Building_66,2,0.0441436767578125,1137
2,Building_67,6,0.11060810089111328,1138
2,Building_66,1,0.021823883056640625,1139
2,NoHouse,1,0.023808002471923828,1140
2,Building_67,1,0.009920120239257812,1141
2,NoHouse,4,0.055055856704711914,1142
2,Building_62,3,0.046128273010253906,1143
2,NoHouse,7,0.12102365493774414,1144
2,Building_67,1,0.012399673461914062,1145
2,NoHouse,4,0.06547212600708008,1146
2,Building_64,2,0.021823883056640625,1147
2,NoHouse,45,0.6884472370147705,1148
2,TaskBuilding_12,32,0.5004637241363525,1149
2,NoHouse,32,0.6214871406555176,1150
2,Building_64,1,0.021823883056640625,1151
2,TaskBuilding_11,40,0.623967170715332,1152
2,Building_67,15,0.2440319061279297,1153
