hitObjectColliderName,ordinalOfHit,hitObjectColliderBoundsCenter.x,hitObjectColliderBoundsCenter.y,hitObjectColliderBoundsCenter.z,participantId,session_type
scaffold_topboard_01_LOD0,2,-118.91986846923828,2.5645008087158203,-158.81594848632812,1054,dyadic_leader
scaffold_base_02_LOD0,1,-126.7746810913086,4.102290153503418,-167.74549865722656,1054,dyadic_leader
scaffold_base_02_LOD0,2,-128.3944854736328,4.102290153503418,-172.51466369628906,1054,dyadic_leader
PhoneCollider,1,-54.90234375,-0.2931257486343384,-80.03697204589844,1054,dyadic_leader
PhoneCollider,1,-54.91058349609375,-0.2835344076156616,-80.04136657714844,1054,dyadic_leader
finger_middle_1_r,2,-54.928340911865234,-0.3075397312641144,-80.0870361328125,1054,dyadic_leader
PhoneCollider,1,-54.911773681640625,-0.28184616565704346,-80.04205322265625,1054,dyadic_leader
finger_middle_1_r,2,-54.929622650146484,-0.3057832717895508,-80.08785247802734,1054,dyadic_leader
PhoneCollider,1,-54.912933349609375,-0.28024518489837646,-80.04281616210938,1054,dyadic_leader
finger_middle_1_r,2,-54.93077087402344,-0.304019033908844,-80.0885009765625,1054,dyadic_leader
PhoneCollider,1,-54.913970947265625,-0.27862977981567383,-80.04341125488281,1054,dyadic_leader
finger_middle_1_r,2,-54.93169021606445,-0.3023713231086731,-80.08900451660156,1054,dyadic_leader
PhoneCollider,1,-54.914794921875,-0.27714455127716064,-80.04388427734375,1054,dyadic_leader
finger_middle_1_r,2,-54.932594299316406,-0.3008118271827698,-80.08955383300781,1054,dyadic_leader
PhoneCollider,1,-54.9156494140625,-0.27577853202819824,-80.04434204101562,1054,dyadic_leader
finger_middle_2_r,2,-54.918251037597656,-0.27288854122161865,-80.1034164428711,1054,dyadic_leader
PhoneCollider,1,-54.916290283203125,-0.27454304695129395,-80.04473876953125,1054,dyadic_leader
finger_middle_2_r,2,-54.918880462646484,-0.27138426899909973,-80.10377502441406,1054,dyadic_leader
PhoneCollider,1,-54.9168701171875,-0.27330470085144043,-80.04510498046875,1054,dyadic_leader
finger_middle_2_r,2,-54.919288635253906,-0.2699824571609497,-80.1040267944336,1054,dyadic_leader
PhoneCollider,1,-54.91717529296875,-0.27214300632476807,-80.04537963867188,1054,dyadic_leader
finger_middle_2_r,2,-54.9196662902832,-0.2687525451183319,-80.10428619384766,1054,dyadic_leader
PhoneCollider,1,-54.917724609375,-0.2701590061187744,-80.04586791992188,1054,dyadic_leader
finger_index_2_r,2,-54.93734359741211,-0.24510565400123596,-80.09467315673828,1054,dyadic_leader
PhoneCollider,1,-54.918243408203125,-0.2688422203063965,-80.0465087890625,1054,dyadic_leader
finger_index_2_r,2,-54.93794250488281,-0.24379447102546692,-80.09519958496094,1054,dyadic_leader
PhoneCollider,1,-54.9185791015625,-0.26839280128479004,-80.04682922363281,1054,dyadic_leader
