hitObjectColliderName,ordinalOfHit,hitObjectColliderBoundsCenter.x,hitObjectColliderBoundsCenter.y,hitObjectColliderBoundsCenter.z,participantId,session_type
pavement_I.003,1,118.09475708007812,-2.7763757705688477,-49.1189079284668,1008,single
road_dense_housing.010,2,111.63348388671875,-1.0342910289764404,14.338218688964844,1008,single
Building_104,1,148.5027313232422,5.2815656661987305,50.124671936035156,1008,single
Wall,2,177.2023162841797,-0.00021964311599731445,69.78749084472656,1008,single
Body,2,173.85589599609375,0.19548892974853516,64.54129028320312,1008,single
CollisionObject1,1,182.1858673095703,6.055512428283691,81.69380187988281,1008,single
CollisionObject0,2,182.1130828857422,3.9233760833740234,81.50945281982422,1008,single
CollisionObject1,1,130.62774658203125,6.498772621154785,44.41901779174805,1008,single
Building_80,2,196.1184844970703,1.2036809921264648,89.19023132324219,1008,single
pavement_T.002,1,86.07352447509766,-0.8258285522460938,95.39126586914062,1008,single
Body,2,253.8000030517578,-0.6832537651062012,142.6219940185547,1008,single
Wall,1,205.71469116210938,-0.07603499293327332,99.45979309082031,1008,single
Hedge,2,205.55978393554688,0.9263126850128174,98.06085205078125,1008,single
TaskBuilding_14,1,226.93492126464844,5.136594772338867,119.60343170166016,1008,single
Building_74,2,266.59954833984375,4.622803688049316,142.5792999267578,1008,single
Building_144,1,-2.3740787506103516,4.272003173828125,-56.251434326171875,1008,single
Graffity_33,1,-11.540239334106445,-0.8024177551269531,-57.77219009399414,1008,single
TaskBuilding_33,2,-6.148923397064209,4.3440093994140625,-62.91694259643555,1008,single
Windmill-TaskBuilding_10_1,1,299.42376708984375,12.84550666809082,190.60150146484375,1008,single
Building_108,1,96.24544525146484,8.327917098999023,7.574158668518066,1008,single
CollisionObject1,2,108.3077392578125,5.818772315979004,18.009016036987305,1008,single
Fence_43,2,-2.002105712890625,-1.301201581954956,-51.450927734375,1008,single
PhoneCollider,1,-29.901123046875,-0.29133349657058716,-55.830970764160156,1008,single
finger_index_1_r,2,-29.858678817749023,-0.2711488902568817,-55.83012008666992,1008,single
PhoneCollider,1,-29.882476806640625,-0.27455323934555054,-55.781593322753906,1008,single
Sphere (2),2,-29.863948822021484,-0.2816331386566162,-55.78431701660156,1008,single
PhoneCollider,1,-29.8533935546875,-0.2653006911277771,-55.69670867919922,1008,single
Sphere (2),2,-29.84264373779297,-0.272703617811203,-55.72108840942383,1008,single
PhoneCollider,1,-29.8336181640625,-0.2560507655143738,-55.63372039794922,1008,single
Sphere (1),2,-29.84294319152832,-0.29787224531173706,-55.64116668701172,1008,single
PhoneCollider,1,-29.801788330078125,-0.24588578939437866,-55.52366638183594,1008,single
Sphere (3),2,-29.81138801574707,-0.28115540742874146,-55.564334869384766,1008,single
PhoneCollider,1,-29.786285400390625,-0.2329232096672058,-55.46478271484375,1008,single
Sphere (3),1,-29.768707275390625,-0.2582204341888428,-55.396018981933594,1008,single
Sphere (1),2,-29.7684268951416,-0.2598174512386322,-55.361663818359375,1008,single
PhoneCollider,1,-29.74896240234375,-0.20811134576797485,-55.297386169433594,1008,single
Sphere (3),2,-29.754722595214844,-0.25227466225624084,-55.337257385253906,1008,single
PhoneCollider,1,-29.71258544921875,-0.19127029180526733,-55.12645721435547,1008,single
Sphere (1),2,-29.727432250976562,-0.23666447401046753,-55.17158508300781,1008,single
PhoneCollider,1,-29.70098876953125,-0.18296819925308228,-55.053977966308594,1008,single
Sphere (3),2,-29.697956085205078,-0.22751709818840027,-55.06370544433594,1008,single
PhoneCollider,1,-29.684783935546875,-0.17543166875839233,-54.966285705566406,1008,single
finger_middle_0_r,2,-29.6617374420166,-0.20709539949893951,-55.006343841552734,1008,single
PhoneCollider,1,-29.6722412109375,-0.16836029291152954,-54.884674072265625,1008,single
Sphere (2),2,-29.652389526367188,-0.18158076703548431,-54.881492614746094,1008,single
Sphere (3),1,-29.647911071777344,-0.20724870264530182,-54.7672119140625,1008,single
Sphere (2),2,-29.633543014526367,-0.1733091026544571,-54.75667190551758,1008,single
Sphere (1),1,-29.6419620513916,-0.20021796226501465,-54.65791320800781,1008,single
finger_middle_0_r,2,-29.60826873779297,-0.18423302471637726,-54.661014556884766,1008,single
PhoneCollider,1,-29.62567138671875,-0.14589470624923706,-54.541770935058594,1008,single
Sphere (2),2,-29.605703353881836,-0.1613142043352127,-54.53820037841797,1008,single
PhoneCollider,1,-29.6083984375,-0.13850027322769165,-54.38671112060547,1008,single
Sphere (2),2,-29.592201232910156,-0.15588200092315674,-54.41213607788086,1008,single
Sphere (2),1,-29.587032318115234,-0.15375512838363647,-54.35458755493164,1008,single
Sphere (3),2,-29.60017967224121,-0.18822619318962097,-54.365081787109375,1008,single
Sphere (2),1,-29.577381134033203,-0.1496627926826477,-54.238914489746094,1008,single
Sphere (3),2,-29.59031105041504,-0.18421506881713867,-54.249420166015625,1008,single
PhoneCollider,1,-29.59039306640625,-0.12969917058944702,-54.15471649169922,1008,single
Sphere (2),2,-29.573314666748047,-0.14765721559524536,-54.181522369384766,1008,single
PhoneCollider,1,-29.586669921875,-0.12760645151138306,-54.09638977050781,1008,single
Sphere (2),2,-29.56936264038086,-0.1457340270280838,-54.12303924560547,1008,single
PhoneCollider,1,-29.580841064453125,-0.12381881475448608,-53.981483459472656,1008,single
Sphere (2),2,-29.563085556030273,-0.14232927560806274,-54.00779724121094,1008,single
PhoneCollider,1,-29.57586669921875,-0.12040168046951294,-53.86553192138672,1008,single
Sphere (2),2,-29.5579833984375,-0.13920801877975464,-53.8914909362793,1008,single
PhoneCollider,1,-29.5711669921875,-0.11724549531936646,-53.750343322753906,1008,single
Sphere (2),2,-29.55282974243164,-0.13607417047023773,-53.776123046875,1008,single
PhoneCollider,1,-29.56591796875,-0.11396557092666626,-53.63517761230469,1008,single
Sphere (2),2,-29.547147750854492,-0.133021742105484,-53.6606559753418,1008,single
PhoneCollider,1,-29.56298828125,-0.11240226030349731,-53.577537536621094,1008,single
Sphere (2),2,-29.54375457763672,-0.1313531994819641,-53.60283660888672,1008,single
PhoneCollider,1,-29.559722900390625,-0.11070472002029419,-53.51947784423828,1008,single
Sphere (2),2,-29.54060173034668,-0.12975651025772095,-53.5446662902832,1008,single
PhoneCollider,1,-29.55615234375,-0.10914641618728638,-53.461997985839844,1008,single
Sphere (2),2,-29.536989212036133,-0.12830951809883118,-53.4870491027832,1008,single
PhoneCollider,1,-29.552581787109375,-0.10769826173782349,-53.40381622314453,1008,single
Sphere (2),2,-29.533512115478516,-0.12671539187431335,-53.42888259887695,1008,single
PhoneCollider,1,-29.54888916015625,-0.10614877939224243,-53.34563446044922,1008,single
Sphere (2),2,-29.529884338378906,-0.12490327656269073,-53.37038040161133,1008,single
PhoneCollider,1,-29.541015625,-0.10296589136123657,-53.23003387451172,1008,single
Sphere (2),2,-29.522066116333008,-0.1217336505651474,-53.25524139404297,1008,single
PhoneCollider,1,-29.537445068359375,-0.10146206617355347,-53.17182922363281,1008,single
Sphere (2),2,-29.51838493347168,-0.12027548998594284,-53.19709014892578,1008,single
PhoneCollider,1,-29.533966064453125,-0.10010606050491333,-53.11363220214844,1008,single
Sphere (2),2,-29.51497459411621,-0.11875315010547638,-53.139007568359375,1008,single
CollisionObject0,2,-0.6253731846809387,1.9334315061569214,-16.42487335205078,1008,single
Hedge_2,2,5.505621433258057,0.5843086242675781,10.458523750305176,1008,single
CollisionObject0,1,-21.858810424804688,1.7719907760620117,-30.36717987060547,1008,single
Fence_9,1,-39.20265197753906,0.6822028160095215,10.160316467285156,1008,single
CollisionObject1,1,-68.58586120605469,7.946691513061523,88.0765609741211,1008,single
CollisionObject0,2,-68.65864562988281,5.8145551681518555,87.8922119140625,1008,single
Lamppost_v1 (62),2,-76.68086242675781,6.162253379821777,121.64421844482422,1008,single
CollisionObject2,2,-104.15255737304688,13.280047416687012,234.39146423339844,1008,single
CollisionObject1,1,-51.62715530395508,7.440004348754883,55.9703483581543,1008,single
Building_176,1,-61.46739196777344,6.519174575805664,166.6895751953125,1008,single
Building_160,1,-68.42803955078125,4.5190935134887695,122.94426727294922,1008,single
TaskBuilding_35,2,-72.5422592163086,6.850490093231201,53.217681884765625,1008,single
Building_163,1,-107.4800033569336,5.933856010437012,88.94000244140625,1008,single
House_49,2,-165.26495361328125,9.615623474121094,216.9559326171875,1008,single
CollisionObject1,2,-123.01138305664062,8.458772659301758,149.86508178710938,1008,single
CollisionObject2,2,-123.12255096435547,14.91004753112793,149.88145446777344,1008,single
CollisionObject1,2,-87.71025848388672,8.218772888183594,87.05432891845703,1008,single
TaskBuilding_40,2,-110.28414154052734,7.979228973388672,137.35040283203125,1008,single
HighSilo-TaskBuilding_49,1,-250.74423217773438,32.950286865234375,310.0548095703125,1008,single
CollisionObject0,2,-76.83499908447266,4.755654811859131,10.239130973815918,1008,single
Building_165,2,-109.45008087158203,7.195075035095215,56.40354537963867,1008,single
CollisionObject2,1,-131.88255310058594,15.240047454833984,111.94145202636719,1008,single
Lamppost_v1 (64),1,-107.26431274414062,6.812252998352051,76.0089111328125,1008,single
CollisionObject1,2,-131.77137756347656,8.788772583007812,111.92508697509766,1008,single
Lamppost_v1 (3),1,-65.75070190429688,5.2022528648376465,4.914255619049072,1008,single
CollisionObject1,2,-117.61225891113281,8.295839309692383,46.06901550292969,1008,single
CollisionObject0,2,-123.18504333496094,6.163702011108398,33.684661865234375,1008,single
TaskBuilding_46,2,-196.59535217285156,11.235241889953613,93.03152465820312,1008,single
pavement_E.013,2,-355.5898742675781,1.025254249572754,141.0079345703125,1008,single
pavement_O.002,2,-165.16314697265625,1.4516879320144653,-15.555870056152344,1008,single
CollisionObject1,2,-114.74273681640625,5.82877254486084,214.5448760986328,1008,single
Lamppost_v1 (6),1,-9.450167655944824,3.542253017425537,-30.752595901489258,1008,single
CollisionObject0,2,23.349510192871094,2.1619906425476074,-2.1828532218933105,1008,single
terrain_I.001,2,118.70455932617188,-3.0108633041381836,-48.26913070678711,1008,single
Body,1,101.77032470703125,0.26882457733154297,27.48941993713379,1008,single
Body,1,125.52999877929688,0.7145090103149414,48.58000183105469,1008,single
scaffold_base_02_LOD0,1,104.69473266601562,3.4334354400634766,46.51611328125,1008,single
terrain_G.001,2,658.50146484375,8.83128547668457,479.0947265625,1008,single
